run,pop,Herbicide,Dose,rep,ve,surv,bio,ve_red,bio_red,selected
1,A10,Glyphosate,3x,8,9,1,2.0106,0.1,0.398932751,
1,A11,Glyphosate,1x,1,4,0,0.23,0.6,0.915165934,x
1,A11,Glyphosate,1x,2,7,1,1.7824,0.3,0.34257287,x
1,A11,Glyphosate,1x,3,9,1,2.4292,0.1,0.104004721,x
1,A11,Glyphosate,1x,4,6,1,0.4333,0.4,0.840179996,x
1,A11,Glyphosate,1x,5,9,1,3.1086,0.1,1.00E-10,x
1,A11,Glyphosate,1x,6,4,0,0.2082,0.6,0.923206728,x
1,A11,Glyphosate,1x,7,7,1,1.2322,0.3,0.54551071,x
1,A11,Glyphosate,1x,8,9,1,2.0547,0.1,0.242136712,x
1,A11,Glyphosate,3x,1,6,1,0.6522,0.4,0.759440095,x
1,A11,Glyphosate,3x,2,2,0,0.1529,0.8,0.943603788,x
1,A11,Glyphosate,3x,3,7,1,0.9496,0.3,0.649745959,x
1,A11,Glyphosate,3x,4,8,1,1.3509,0.2,0.501728955,x
1,A11,Glyphosate,3x,5,8,1,1.8035,0.2,0.334790266,x
1,A11,Glyphosate,3x,6,8,1,1.9692,0.2,0.273672854,x
1,A11,Glyphosate,3x,7,4,0,0.9145,0.6,0.662692375,x
1,A11,Glyphosate,3x,8,9,1,3,0.1,1.00E-10,x
1,A12,Glyphosate,1x,1,9,1,3.4515,0.1,1.00E-10,
1,A12,Glyphosate,1x,2,3,0,0.1238,0.7,0.960029381,
1,A12,Glyphosate,1x,3,9,1,2.7382,0.1,0.115932554,
1,A12,Glyphosate,1x,4,9,1,2.5574,0.1,0.174306447,
1,A12,Glyphosate,1x,5,9,1,2.6309,0.1,0.15057591,
1,A12,Glyphosate,1x,6,9,1,3.2075,0.1,1.00E-10,
1,A12,Glyphosate,1x,7,9,1,2.435,0.1,0.213825056,
1,A12,Glyphosate,1x,8,7,1,1.6599,0.3,0.464077294,
1,A12,Glyphosate,3x,1,7,1,0.7089,0.3,0.771121389,
1,A12,Glyphosate,3x,2,4,0,0.1133,0.6,0.963419457,
1,A12,Glyphosate,3x,3,8,1,1.6315,0.2,0.473246644,
1,A12,Glyphosate,3x,4,4,0,0.2072,0.6,0.933102485,
1,A12,Glyphosate,3x,5,7,1,0.5146,0.3,0.833853952,
1,A12,Glyphosate,3x,6,9,1,2.3984,0.1,0.225641895,
1,A12,Glyphosate,3x,7,8,1,2.0417,0.2,0.340807645,
1,A12,Glyphosate,3x,8,2,0,0.1303,0.8,0.957930762,
1,A13,Glyphosate,1x,1,9,1,2.922,0.1,1.00E-10,
1,A13,Glyphosate,1x,2,8,1,1.3363,0.2,0.458165231,
1,A13,Glyphosate,1x,3,9,1,2.5677,0.1,1.00E-10,
1,A13,Glyphosate,1x,4,7,1,1.4165,0.3,0.425646224,
1,A13,Glyphosate,1x,5,9,1,1.637,0.1,0.33623923,
1,A13,Glyphosate,1x,6,7,1,1.0795,0.3,0.562290928,
1,A13,Glyphosate,1x,7,3,0,0.2388,0.7,0.903172833,
1,A13,Glyphosate,1x,8,6,1,0.7724,0.4,0.686811962,
